feature,importance
risk_velocity,0.1607829174884421
log_amount,0.06472838342563574
amount,0.06340099517018133
risk_score,0.04261271048102037
risk_score_gap,0.03785038071377377
amount_to_daily_limit_ratio,0.031142203496198385
typing_pattern_anomaly,0.03060307647237849
anomaly_score,0.029646449325810672
avg_risk_score,0.028893806063139387
hour,0.0283433599736566
amount_to_monthly_limit_ratio,0.026128015446638786
sin_hour,0.024172459241286474
max_risk_score,0.023451232389917583
destination_monthly_limit,0.02142736065204178
age,0.021213584115285195
cos_hour,0.020417594631534596
sin_day_of_week,0.01922282526328749
customer_tenure_years,0.019112518629082694
credit_score,0.01865277820639905
source_monthly_limit,0.018646423712173472
txn_per_month,0.018038764371529202
annual_income,0.017739151338006406
day_of_week,0.017412378568906497
hesitation_indicators,0.014866536431990218
flow_ratio,0.012943189257676912
authentication_failures,0.012721815277224657
destination_daily_limit,0.012230785130197281
pagerank_centrality,0.012055272159732648
cos_day_of_week,0.011973671261227357
known_device_rate,0.011320694092552673
betweenness_centrality,0.011315334435876576
source_daily_limit,0.009906470141974983
risk_profile_encoded,0.009496715667616451
call_to_txn_ratio,0.008901491665485987
digital_literacy_level_encoded,0.008584263594703608
is_flagged,0.007536959427628426
alert_to_txn_ratio,0.007425827523625314
device_trust_gap,0.006804317086737863
transaction_type_encoded,0.0065394696241725505
location_risk_score,0.006472873613756873
amount_risk_score,0.005646287714024721
velocity_risk_score,0.004762018667355754
is_business_hours,0.004152469491262775
is_weekend,0.0037025174086212243
vulnerability_score,0.0035463143201574943
is_night,0.0033225479302014514
source_mule_account_rate,0.003198093141162944
txn_avg_resolution_hours,0.001818156876153076
sar_flag,0.0017926198443184726
is_vulnerable,0.0017896796546241149
txn_avg_alert_risk_score,0.0015386187185221392
txn_avg_false_positive_prob,0.0013437062275989098
ctr_flag,0.0012376912307910405
txn_avg_call_duration,0.001203699784643006
known_device,0.0008804833411732722
txn_alert_count,0.000867865505696616
txn_high_priority_rate,0.0008454618600300419
txn_call_count,0.0007666753072357604
hours_since_last_alert,0.0007025929637224282
source_is_mule_account,0.0005798627642766279
destination_is_mule_account,0.0005647121953908031
txn_escalation_rate,0.0004285149191210482
txn_outcome_reached_rate,0.00040449569577218894
hours_since_last_call,0.00016985886963767705
relative_amount_to_avg,0.0
is_round_amount,0.0
