iter	Logloss
0	0.6255102734
1	0.5856708179
2	0.550389342
3	0.5344974726
4	0.5100663115
5	0.4978754373
6	0.4846357495
7	0.4732249835
8	0.4613542053
9	0.45425877
10	0.4407081436
11	0.4324300581
12	0.4229253726
13	0.4199114911
14	0.4124882303
15	0.4065552576
16	0.3956344036
17	0.3880194477
18	0.3857899301
19	0.3810100968
20	0.3782128349
21	0.3714635504
22	0.3650400048
23	0.3603918046
24	0.3541666953
25	0.349843571
26	0.3431689162
27	0.3386455287
28	0.3338271496
29	0.3292646797
30	0.3265260548
31	0.3245396272
32	0.3218251336
33	0.3165974222
34	0.3147005165
35	0.311967384
36	0.3071314132
37	0.3044524295
38	0.3032310661
39	0.3003959497
40	0.2973601136
41	0.2938647285
42	0.2913229487
43	0.2878191883
44	0.2850920142
45	0.2836009797
46	0.2802074002
47	0.2774416047
48	0.2745510341
49	0.2694726635
50	0.2667407567
51	0.2628147668
52	0.2600352801
53	0.259951884
54	0.2570552927
55	0.254640205
56	0.2520304607
57	0.2495391663
58	0.2479037124
59	0.2445237734
60	0.2435034232
61	0.242109167
62	0.2406885415
63	0.239681436
64	0.2384908136
65	0.2371695531
66	0.2358806959
67	0.2341855593
68	0.2325061084
69	0.2314731134
70	0.2296207079
71	0.2261390203
72	0.2250591464
73	0.2234696196
74	0.2223840282
75	0.2204156571
76	0.2186133599
77	0.2168853688
78	0.2148901915
79	0.2128913733
80	0.2102989712
81	0.2083401641
82	0.2067248031
83	0.2036215478
84	0.2024742971
85	0.2012290192
86	0.1997591443
87	0.198541361
88	0.1969851416
89	0.1954346009
90	0.1940885913
91	0.1930230763
92	0.1917626364
93	0.1899245253
94	0.1863249477
95	0.1857404665
96	0.1842574852
97	0.1826685111
98	0.1802642569
99	0.1783152182
100	0.175843473
101	0.1741383027
102	0.172040475
103	0.1710805741
104	0.16891797
105	0.1672496013
106	0.1660172576
107	0.16399601
108	0.1619509503
109	0.161030922
110	0.158996514
111	0.1568265552
112	0.1555317546
113	0.1541084581
114	0.1521204928
115	0.1493610805
116	0.1482463464
117	0.1469342033
118	0.146004108
119	0.1436356946
120	0.1421970765
121	0.1407084854
122	0.1398487868
123	0.1385546695
124	0.1372682902
125	0.1361597609
126	0.1344080846
127	0.1331604037
128	0.1311643436
129	0.1293500768
130	0.1281952541
131	0.1267467913
132	0.1251806729
133	0.1229506547
134	0.1211260388
135	0.1202309714
136	0.1186670143
137	0.1174982638
138	0.1162021177
139	0.1154209883
140	0.1145411918
141	0.1132867979
142	0.1126402146
143	0.1116973048
144	0.1104232293
145	0.1092520187
146	0.1082212927
147	0.1065644148
148	0.1054413966
149	0.1046024694
150	0.1039409575
151	0.1032341491
152	0.1024816566
153	0.1018332403
154	0.1006096851
155	0.09970306989
156	0.09897801285
157	0.09822571027
158	0.09752587152
159	0.09698142603
160	0.09625446089
161	0.09516296572
162	0.09385535694
163	0.09338990685
164	0.0924678521
165	0.09163291589
166	0.09068920134
167	0.08940183232
168	0.0887699504
169	0.0880093133
170	0.08712847096
171	0.08659255257
172	0.08535725817
173	0.08450615405
174	0.08360305364
175	0.08270059349
176	0.08214930902
177	0.08152912268
178	0.08071660123
179	0.07959832983
180	0.07929254071
181	0.07884127317
182	0.07816991411
183	0.07764998127
184	0.07699526036
185	0.07627611032
186	0.07603460771
187	0.07543043517
188	0.07438713233
189	0.07354272829
190	0.07325770212
191	0.07268405493
192	0.07219528075
193	0.07181893872
194	0.07119375587
195	0.07049308806
196	0.06995025759
197	0.06944175444
198	0.06896063615
199	0.06840318847
200	0.06788717265
201	0.06717339584
202	0.06699044582
203	0.06598947717
204	0.06558970356
205	0.06516702666
206	0.06482846732
207	0.06454416934
208	0.06410606201
209	0.06362345145
210	0.06304677271
211	0.06258268966
212	0.06209575203
213	0.0617299493
214	0.06093447854
215	0.06045202115
216	0.06000189259
217	0.05942517387
218	0.05887387402
219	0.05823315013
220	0.05769801588
221	0.05706741934
222	0.05646495133
223	0.05608066293
224	0.05557716798
225	0.05520163646
226	0.05479191099
227	0.05432665251
228	0.05388932157
229	0.05348534641
230	0.05302726428
231	0.05246965801
232	0.05225518619
233	0.05200539148
234	0.05147747901
235	0.05118271108
236	0.05100293922
237	0.05048268952
238	0.04993270262
239	0.04952183398
240	0.04925948914
241	0.04883142762
242	0.04851721497
243	0.04819462018
244	0.04789149634
245	0.04765634207
246	0.04737830337
247	0.04706132122
248	0.04655906509
249	0.04632142101
250	0.04592772844
251	0.04576677245
252	0.04557296045
253	0.04517358652
254	0.04494765962
255	0.04467254119
256	0.04432754691
257	0.0441644578
258	0.04380344406
259	0.04364782099
260	0.04337600805
261	0.04289609471
262	0.04257798694
263	0.04242756326
264	0.04218413125
265	0.04173086816
266	0.04129814538
267	0.0409811661
268	0.04073932786
269	0.04057079621
270	0.04016062868
271	0.03977488075
272	0.03951000509
273	0.0390976096
274	0.03886751295
275	0.03864022029
276	0.03829867512
277	0.0379868254
278	0.03754409894
279	0.03726850924
280	0.03699326719
281	0.03682338987
282	0.0365624343
283	0.03638761448
284	0.03612500508
285	0.03594442567
286	0.03563452278
287	0.03550243615
288	0.03520697454
289	0.03496310387
290	0.03473282849
291	0.03456123683
292	0.03454052809
293	0.03437768869
294	0.03404959591
295	0.03378352775
296	0.03357906855
297	0.03329998416
298	0.0330226493
299	0.03282149205
300	0.03269985799
301	0.03256796523
302	0.03229492048
303	0.03206833658
304	0.03196724559
305	0.03180848903
306	0.03162901888
307	0.03143022235
308	0.03115722738
309	0.03097907393
310	0.03080811966
311	0.03074207149
312	0.03062060136
313	0.03043135558
314	0.03035931149
315	0.03013360932
316	0.02998207371
317	0.02980457999
318	0.02957040389
319	0.02923732389
320	0.02907566218
321	0.02887425039
322	0.02863224486
323	0.02847314116
324	0.02829238783
325	0.02800126757
326	0.02792025038
327	0.02769448225
328	0.02754869188
329	0.02727621106
330	0.02726768492
331	0.02706446112
332	0.02695264547
333	0.02678392003
334	0.0266743627
335	0.02657783832
336	0.02634542913
337	0.02618549788
338	0.02609917265
339	0.025947047
340	0.02572219139
341	0.02560980968
342	0.0254882339
343	0.02533761014
344	0.02521057701
345	0.02505648464
346	0.02493751732
347	0.02477772243
348	0.0246365566
349	0.02454063216
350	0.02438054506
351	0.02421979134
352	0.02413130843
353	0.02399901594
354	0.02385598425
355	0.0236689331
356	0.02357889741
357	0.02342357658
358	0.02329663387
359	0.02321620311
360	0.02306135713
361	0.02297020635
362	0.02288823776
363	0.02272580218
364	0.02253396152
365	0.02241967909
366	0.02223904704
367	0.02213795838
368	0.02197374015
369	0.02187394878
370	0.02175640625
371	0.02171309318
372	0.02169386548
373	0.02155743915
374	0.02147964695
375	0.0212850427
376	0.02121519953
377	0.02104308252
378	0.02091524204
379	0.02073384083
380	0.02066882911
381	0.02062080211
382	0.02054716328
383	0.02044546144
384	0.02038529689
385	0.02029587764
386	0.02024070614
387	0.02009269972
388	0.02000295801
389	0.01988408065
390	0.01982339709
391	0.0197464066
392	0.01963848356
393	0.01960019165
394	0.01951804974
395	0.01946420869
396	0.01937892787
397	0.01935500798
398	0.01923197622
399	0.01919226388
